"Players","Nationality","Type","Price Paid","Team"
"Robin Uthappa","Indian","Batsman","20000000","CSK"
"Dwayne Bravo","Overseas","All-Rounder","44000000","CSK"
"Ambati Rayudu","Indian","Wicket Keeper","67500000","CSK"
"Deepak Chahar","Indian","Bowler","140000000","CSK"
"CHari Nishaanth","Indian","Batsman","2000000","CSK"
"N Jagadeesan","Indian","Wicket Keeper","2000000","CSK"
"KM Asif","Indian","Bowler","2000000","CSK"
"Tushar Deshpande","Indian","Bowler","2000000","CSK"
"Shivam Dube","Indian","All-Rounder","40000000","CSK"
"Chris Jordan","Overseas","All-Rounder","36000000","CSK"
"Maheesh Theekshana","Overseas","Bowler","7000000","CSK"
"Rajvardhan Hangargekar","Indian","All-Rounder","15000000","CSK"
"Simarjeet Singh","Indian","Bowler","2000000","CSK"
"Devon Conway","Overseas","Batsman","10000000","CSK"
"Dwaine Pretorius","Overseas","All-Rounder","5000000","CSK"
"Mitchell Santner","Overseas","All-Rounder","19000000","CSK"
"Adam Milne","Overseas","Bowler","19000000","CSK"
"Subhranshu Senapati","Indian","Batsman","2000000","CSK"
"Mukesh Choudhary","Indian","Bowler","2000000","CSK"
"Prashant Solanki","Indian","Bowler","12000000","CSK"
"KBhagath Varma","Indian","All-Rounder","2000000","CSK"
"David Warner","Overseas","Batsman","62500000","DC"
"Mitchell Marsh","Overseas","All-Rounder","65000000","DC"
"Mustafizur Rahman","Overseas","Bowler","20000000","DC"
"Shardul Thakur","Indian","Bowler","107500000","DC"
"Kuldeep Yadav","Indian","Bowler","20000000","DC"
"Ashwin Hebbar","Indian","Batsman","2000000","DC"
"Sarfaraz Khan","Indian","All-Rounder","2000000","DC"
"Kamlesh Nagarkoti","Indian","All-Rounder","11000000","DC"
"KS Bharat","Indian","Wicket Keeper","20000000","DC"
"Mandeep Singh","Indian","Batsman","11000000","DC"
"Syed Khaleel Ahmed","Indian","Bowler","52500000","DC"
"Lungisani Ngidi","Overseas","Bowler","5000000","DC"
"Chetan Sakariya","Indian","Bowler","42000000","DC"
"Yash Dhull","Indian","All-Rounder","5000000","DC"
"Vicky Ostwal","Indian","All-Rounder","2000000","DC"
"Ripal Patel","Indian","All-Rounder","2000000","DC"
"Lalit Yadav","Indian","All-Rounder","6500000","DC"
"Rovman Powell","Overseas","Batsman","28000000","DC"
"Tim Seifert","Overseas","Wicket Keeper","5000000","DC"
"Pravin Dubey","Indian","All-Rounder","5000000","DC"
"Mohammad Shami","Indian","Bowler","62500000","GT"
"David Miller","Overseas","Batsman","30000000","GT"
"Jason Roy","Overseas","Batsman","20000000","GT"
"Wriddhiman Saha","Indian","Wicket Keeper","19000000","GT"
"Matthew Wade","Overseas","Wicket Keeper","24000000","GT"
"Lockie Ferguson","Overseas","Bowler","100000000","GT"
"Abhinav Sadarangani","Indian","Batsman","26000000","GT"
"Rahul Tewatia","Indian","All-Rounder","90000000","GT"
"Noor Ahmad","Overseas","Bowler","3000000","GT"
"R Sai Kishore","Indian","Bowler","30000000","GT"
"Dominic Drakes","Overseas","All-Rounder","11000000","GT"
